feature,importance
categorical__term_location_POS_TERMINAL,0.028431292374530688
categorical__day_name_Saturday,0.0263241345766744
categorical__currency_VND,0.02625134767091691
categorical__txn_count_7d_group_11_20,0.025056661213172664
categorical__message_type_0400-Reversal,0.024645162705859362
categorical__auth_characteristics_CARD_PRESENT,0.023921837143946485
categorical__night_ratio_group_low,0.023215277750336043
categorical__message_type_0420-RepeatRev,0.020550802701624793
categorical__merchant_country_AE,0.020324437988525873
categorical__merchant_country_PH,0.020151945962458527
categorical__time_period_late_evening,0.02005986285606375
categorical__currency_AUD,0.018734092512982584
categorical__merchant_country_CN,0.01656745340117992
categorical__txn_velocity_group_very_low,0.016133218771062916
categorical__credit_util_risk_group_low,0.014933266990561403
categorical__currency_CHF,0.01411741719747444
categorical__merchant_country_KR,0.01234948921819353
categorical__currency_IDR,0.008611658384348261
categorical__merchant_country_ID,0.007877670918680265
categorical__merchant_country_GB,0.0
categorical__merchant_country_DE,0.0
categorical__mcc_infrequent_sklearn,0.0
categorical__amount_to_max_group_extreme,0.0
categorical__night_ratio_group_very_low,0.0
categorical__night_unusual_group_very_high,0.0
categorical__night_unusual_group_not_night,0.0
categorical__night_ratio_group_infrequent_sklearn,0.0
categorical__txn_count_7d_group_0_1,0.0
categorical__decline_rate_risk_group_infrequent_sklearn,0.0
categorical__decline_rate_risk_group_high,0.0
categorical__ip_score_risk_group_very_high,0.0
categorical__ip_score_risk_group_low,0.0
categorical__txn_count_7d_group_gt_20,0.0
categorical__txn_velocity_group_medium,0.0
binary__night_transaction_flag,0.0
