experiment_name,model_name,description,dropped_categorical,drop_interaction_features,use_rare_category_grouping,min_frequency,selected_threshold,max_review_rate,n_preprocessed_features,elapsed_seconds,validation_roc_auc,validation_pr_auc,validation_precision,validation_recall,validation_f1,validation_f2,validation_review_rate,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_f2,test_review_rate,test_tp,test_fp,test_fn,test_tn
cat_tune_base_depth6_l2_5_lr003_iter700,catboost,"Base final CatBoost: depth=6, l2=5, lr=0.03, iter=700.",,True,True,100,0.74,0.05,164,7.567881345748901,0.8723348668636591,0.6404470314976879,0.5244897959183673,0.6798941798941799,0.5921658986175116,0.6418581418581418,0.03266666666666666,0.8978335840334593,0.6967035505049677,0.5264116575591985,0.7448453608247423,0.6168623265741728,0.6877677296525464,0.0366,289,260,99,14352
cat_tune_depth5_l2_8_lr003_iter700,catboost,"CatBoost chống overfit hơn: depth=5, l2=8, lr=0.03, iter=700.",,True,True,100,0.74,0.05,164,6.754379510879517,0.8736693783882952,0.6385245165462675,0.4863883847549909,0.708994708994709,0.5769644779332616,0.6495395055744062,0.03673333333333333,0.8990135914274667,0.6820393577285822,0.47596153846153844,0.7654639175257731,0.5869565217391305,0.6824448529411765,0.0416,297,327,91,14285
cat_tune_depth6_l2_5_lr002_iter1000,catboost,"CatBoost học chậm hơn: depth=6, l2=5, lr=0.02, iter=1000.",,True,True,100,0.71,0.05,164,10.544385433197021,0.8743778853203008,0.6438250083880185,0.47593582887700536,0.7063492063492064,0.5686900958466453,0.6439942112879884,0.0374,0.8998558239097366,0.6929388993580036,0.47665056360708535,0.7628865979381443,0.5867195242814668,0.6810860561435803,0.0414,296,325,92,14287
cat_tune_depth7_l2_8_lr003_iter700,catboost,"CatBoost mạnh hơn nhẹ: depth=7, l2=8, lr=0.03, iter=700.",,True,True,100,0.66,0.05,164,9.664695739746094,0.8716386629120867,0.6498549270819864,0.497196261682243,0.7037037037037037,0.5826944140197152,0.6497313141182218,0.035666666666666666,0.9010095501226221,0.7027483179633467,0.5008319467554077,0.7757731958762887,0.6086956521739131,0.6990246168137483,0.04006666666666667,301,300,87,14312
cat_tune_depth6_l2_10_lr003_iter700,catboost,"CatBoost regularize mạnh hơn: depth=6, l2=10, lr=0.03, iter=700.",,True,True,100,0.74,0.05,164,13.788205862045288,0.8701700850859653,0.6422338675747198,0.5168316831683168,0.6904761904761905,0.5911664779161948,0.6470004957858205,0.033666666666666664,0.898261843817114,0.6955886028065746,0.5244122965641953,0.7474226804123711,0.6163655685441021,0.6888361045130641,0.036866666666666666,290,263,98,14349
