feature,coefficient,abs_coefficient,direction
categorical__mcc_3070,3.3593843540307375,3.3593843540307375,increase_risk
categorical__mcc_3064,3.09227858444476,3.09227858444476,increase_risk
categorical__mcc_3220,2.688703205697588,2.688703205697588,increase_risk
categorical__mcc_3061,2.6300717211760256,2.6300717211760256,increase_risk
categorical__mcc_3293,2.4013102849480106,2.4013102849480106,increase_risk
categorical__mcc_3004,2.287813527227707,2.287813527227707,increase_risk
categorical__mcc_3181,2.2573421228540558,2.2573421228540558,increase_risk
categorical__mcc_3010,2.1827030811050823,2.1827030811050823,increase_risk
categorical__mcc_3304,2.152103736625828,2.152103736625828,increase_risk
categorical__mcc_3311,2.108244809370609,2.108244809370609,increase_risk
categorical__mcc_3322,2.06427280839299,2.06427280839299,increase_risk
categorical__mcc_3059,-1.9708072358903255,1.9708072358903255,decrease_risk
categorical__mcc_3253,1.9382089073594182,1.9382089073594182,increase_risk
categorical__mcc_3270,1.9323936523010314,1.9323936523010314,increase_risk
categorical__mcc_3138,1.9000303413540742,1.9000303413540742,increase_risk
categorical__mcc_3080,1.8895011073555514,1.8895011073555514,increase_risk
categorical__mcc_3047,-1.866909102693836,1.866909102693836,decrease_risk
categorical__mcc_3313,-1.861022063303379,1.861022063303379,decrease_risk
categorical__mcc_3089,1.8580054008435847,1.8580054008435847,increase_risk
categorical__mcc_3132,-1.8410029149730343,1.8410029149730343,decrease_risk
categorical__mcc_3191,1.7961252912786927,1.7961252912786927,increase_risk
categorical__mcc_3221,-1.7852188239135507,1.7852188239135507,decrease_risk
categorical__mcc_3148,-1.7805973309723826,1.7805973309723826,decrease_risk
categorical__mcc_3124,1.770456981517368,1.770456981517368,increase_risk
categorical__mcc_3167,-1.762375598455419,1.762375598455419,decrease_risk
categorical__mcc_3260,-1.762226380863078,1.762226380863078,decrease_risk
categorical__mcc_3337,-1.7391096421132533,1.7391096421132533,decrease_risk
categorical__mcc_3097,1.7235506343920792,1.7235506343920792,increase_risk
categorical__mcc_3312,-1.7177793781969264,1.7177793781969264,decrease_risk
categorical__mcc_3144,-1.7067680239634253,1.7067680239634253,decrease_risk
categorical__mcc_3048,-1.705990554213659,1.705990554213659,decrease_risk
categorical__mcc_3152,-1.689565364540247,1.689565364540247,decrease_risk
categorical__mcc_3222,-1.668769960443482,1.668769960443482,decrease_risk
categorical__mcc_3002,-1.6607560457533055,1.6607560457533055,decrease_risk
categorical__mcc_3301,-1.6604553929336692,1.6604553929336692,decrease_risk
categorical__mcc_3006,1.6550758475908836,1.6550758475908836,increase_risk
categorical__mcc_3067,-1.6478400521246042,1.6478400521246042,decrease_risk
categorical__mcc_3041,-1.640952982135616,1.640952982135616,decrease_risk
categorical__mcc_3299,-1.6372827650722965,1.6372827650722965,decrease_risk
categorical__mcc_3255,-1.6287772564301566,1.6287772564301566,decrease_risk
categorical__mcc_3088,-1.6097807632002619,1.6097807632002619,decrease_risk
categorical__mcc_3197,-1.609749218355093,1.609749218355093,decrease_risk
categorical__mcc_3056,-1.5990161416616544,1.5990161416616544,decrease_risk
categorical__mcc_3105,-1.5988561607584184,1.5988561607584184,decrease_risk
categorical__mcc_3090,-1.5942281551630446,1.5942281551630446,decrease_risk
categorical__mcc_3227,-1.5861788407459338,1.5861788407459338,decrease_risk
categorical__mcc_3169,-1.5843409388456835,1.5843409388456835,decrease_risk
categorical__mcc_3000,-1.5695008975289695,1.5695008975289695,decrease_risk
categorical__mcc_3275,-1.5555994618466773,1.5555994618466773,decrease_risk
categorical__mcc_3266,-1.5544202371322906,1.5544202371322906,decrease_risk
categorical__mcc_3114,-1.5402369880436921,1.5402369880436921,decrease_risk
categorical__mcc_3171,1.5261004910564513,1.5261004910564513,increase_risk
categorical__mcc_3307,1.4867965315318161,1.4867965315318161,increase_risk
categorical__mcc_3242,1.4633651852951421,1.4633651852951421,increase_risk
categorical__mcc_3258,-1.4632079034051528,1.4632079034051528,decrease_risk
categorical__mcc_3040,-1.4597596750426824,1.4597596750426824,decrease_risk
categorical__mcc_3263,-1.455173815897554,1.455173815897554,decrease_risk
categorical__mcc_3193,1.4326725990748979,1.4326725990748979,increase_risk
categorical__mcc_3257,1.4073566848502448,1.4073566848502448,increase_risk
categorical__mcc_3066,-1.4047753303718535,1.4047753303718535,decrease_risk
categorical__mcc_3210,-1.3966820784648868,1.3966820784648868,decrease_risk
categorical__mcc_3149,1.3659047309539523,1.3659047309539523,increase_risk
categorical__mcc_3264,-1.3253769690103068,1.3253769690103068,decrease_risk
categorical__mcc_3192,1.2827634796615854,1.2827634796615854,increase_risk
categorical__mcc_3077,1.1766939721834193,1.1766939721834193,increase_risk
categorical__night_unusual_group_not_night,1.1343835998569745,1.1343835998569745,increase_risk
categorical__mcc_3348,-1.0529851736087212,1.0529851736087212,decrease_risk
categorical__mcc_3235,-0.9854917979617857,0.9854917979617857,decrease_risk
categorical__mcc_3229,0.9715100304136722,0.9715100304136722,increase_risk
categorical__mcc_3338,-0.9673668773706305,0.9673668773706305,decrease_risk
categorical__mcc_3018,0.9040318263366762,0.9040318263366762,increase_risk
categorical__amount_to_max_group_below_half_max,0.8908333514626191,0.8908333514626191,increase_risk
categorical__amount_to_max_group_extreme,-0.8682715801487453,0.8682715801487453,decrease_risk
categorical__mcc_3065,0.8505099269184091,0.8505099269184091,increase_risk
categorical__mcc_3231,0.8373187001388492,0.8373187001388492,increase_risk
categorical__mcc_3245,-0.8340784161973219,0.8340784161973219,decrease_risk
categorical__mcc_3175,-0.8233693620720155,0.8233693620720155,decrease_risk
