experiment_name,description,class_weight,C,use_rare_category_grouping,min_frequency,dropped_categorical,threshold_metric,max_review_rate,selected_threshold,n_preprocessed_features,validation_roc_auc,validation_pr_auc,validation_precision,validation_recall,validation_f1,validation_f2,validation_review_rate,validation_tp,validation_fp,validation_fn,validation_tn,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_f2,test_review_rate,test_tp,test_fp,test_fn,test_tn
lr_mcc_minfreq_50,"Baseline hiện tại: giữ mcc, gom category hiếm với min_frequency=50.",balanced,1.0,True,50,,f2,0.05,0.76,355,0.8680496302230675,0.4554457850386111,0.3253333333333333,0.6455026455026455,0.4326241134751773,0.5393457117595049,0.05,244,506,134,14116,0.887131499036239,0.4487926220673137,0.35924932975871315,0.6907216494845361,0.47266313932980597,0.5831157528285466,0.04973333333333333,268,478,120,14134
lr_no_mcc,Bỏ mcc để kiểm tra model có phụ thuộc quá nhiều vào mã ngành hàng hay không.,balanced,1.0,True,50,mcc,f2,0.05,0.77,171,0.8717866605296504,0.5060073787528392,0.3768996960486322,0.656084656084656,0.47876447876447875,0.5714285714285714,0.043866666666666665,248,410,130,14212,0.8951964703491834,0.5332383312652459,0.4044776119402985,0.6984536082474226,0.5122873345935728,0.6098109810981098,0.04466666666666667,271,399,117,14213
lr_mcc_minfreq_100,Giữ mcc nhưng gom category hiếm mạnh hơn với min_frequency=100.,balanced,1.0,True,100,,f2,0.05,0.77,172,0.8717877460867475,0.506010211050568,0.3768996960486322,0.656084656084656,0.47876447876447875,0.5714285714285714,0.043866666666666665,248,410,130,14212,0.8951954120465879,0.5332376749673197,0.4044776119402985,0.6984536082474226,0.5122873345935728,0.6098109810981098,0.04466666666666667,271,399,117,14213
lr_mcc_minfreq_200,Giữ mcc nhưng gom category hiếm rất mạnh với min_frequency=200.,balanced,1.0,True,200,,f2,0.05,0.77,172,0.8717877460867475,0.506010211050568,0.3768996960486322,0.656084656084656,0.47876447876447875,0.5714285714285714,0.043866666666666665,248,410,130,14212,0.8951954120465879,0.5332376749673197,0.4044776119402985,0.6984536082474226,0.5122873345935728,0.6098109810981098,0.04466666666666667,271,399,117,14213
