feature,coefficient,abs_coefficient,direction
categorical__card_entry_mode_MAGSTRIPE,-0.14683537319923737,0.14683537319923737,decrease_risk
categorical__txn_count_7d_group_11_20,-0.14388019968164661,0.14388019968164661,decrease_risk
interaction__cross_border_x_low_country_diversity,-0.14127271972654276,0.14127271972654276,decrease_risk
categorical__message_type_0200-FinReq,0.14010357344357136,0.14010357344357136,increase_risk
categorical__recurring_flag_INSTALLMENT_PLAN,-0.13989982160818806,0.13989982160818806,decrease_risk
categorical__txn_velocity_group_very_low,-0.1329378029732799,0.1329378029732799,decrease_risk
categorical__currency_THB,-0.13193568006893286,0.13193568006893286,decrease_risk
categorical__payment_channel_MOBILE_APP,-0.13082676742753108,0.13082676742753108,decrease_risk
categorical__day_name_Friday,-0.1271299182209493,0.1271299182209493,decrease_risk
categorical__txn_count_7d_group_gt_20,-0.12599179511422073,0.12599179511422073,decrease_risk
categorical__message_type_0400-Reversal,-0.12582894687731067,0.12582894687731067,decrease_risk
categorical__auth_characteristics_CARD_PRESENT,-0.12468358965024381,0.12468358965024381,decrease_risk
categorical__auth_characteristics_FORCE_POST,-0.12301138138654584,0.12301138138654584,decrease_risk
categorical__night_ratio_group_infrequent_sklearn,0.12294381894272237,0.12294381894272237,increase_risk
binary__card_not_present_flag,0.12278747799391787,0.12278747799391787,increase_risk
categorical__term_location_ONLINE_PORTAL,-0.1193508452008361,0.1193508452008361,decrease_risk
categorical__pin_verif_method_OFFLINE_PIN,-0.11775475292922,0.11775475292922,decrease_risk
numeric__txn_count_30d,-0.11678367808995448,0.11678367808995448,decrease_risk
binary__low_spending_trend_flag,0.11639823984461557,0.11639823984461557,increase_risk
categorical__payment_channel_API_SERVER,-0.11588485034121365,0.11588485034121365,decrease_risk
categorical__auth_result_AVS_FAIL,-0.11523073002394837,0.11523073002394837,decrease_risk
categorical__merchant_country_PH,0.10887317187508312,0.10887317187508312,increase_risk
categorical__term_location_POS_TERMINAL,-0.10869096292077969,0.10869096292077969,decrease_risk
categorical__message_type_0100-AuthReq,-0.10835988028881771,0.10835988028881771,decrease_risk
categorical__currency_GBP,-0.10601209189672002,0.10601209189672002,decrease_risk
categorical__pin_verif_method_NONE,-0.10334097222149431,0.10334097222149431,decrease_risk
categorical__term_location_MOBILE_APP,-0.10217791384646495,0.10217791384646495,decrease_risk
categorical__currency_CNY,0.10071275931261273,0.10071275931261273,increase_risk
categorical__merchant_country_CN,0.09953584385156233,0.09953584385156233,increase_risk
categorical__card_entry_mode_TOKEN_IN_APP,-0.09907019280378983,0.09907019280378983,decrease_risk
categorical__payment_channel_IVR_PHONE,-0.0981649748212928,0.0981649748212928,decrease_risk
categorical__decline_rate_risk_group_infrequent_sklearn,-0.09648867596504979,0.09648867596504979,decrease_risk
categorical__auth_characteristics_FALLBACK_MAG,-0.09408110752962211,0.09408110752962211,decrease_risk
numeric__night_unusual_score,0.0935585667190026,0.0935585667190026,increase_risk
categorical__currency_EUR,-0.09263733161172165,0.09263733161172165,decrease_risk
numeric__txn_count_7d,0.092502427161142,0.092502427161142,increase_risk
categorical__auth_result_BIOMETRIC_FAIL,-0.09015136680363697,0.09015136680363697,decrease_risk
categorical__merchant_country_ID,-0.08685574190140603,0.08685574190140603,decrease_risk
categorical__currency_CHF,0.08353338617463808,0.08353338617463808,increase_risk
categorical__auth_result_3DS_PASS,-0.0825164156775404,0.0825164156775404,decrease_risk
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,-0.08244807153755407,0.08244807153755407,decrease_risk
categorical__merchant_country_US,0.08060892962460008,0.08060892962460008,increase_risk
categorical__merchant_country_AU,-0.08027913640189605,0.08027913640189605,decrease_risk
categorical__payment_channel_WEB_BROWSER,-0.0762580365445452,0.0762580365445452,decrease_risk
categorical__merchant_country_GB,-0.07617936240290352,0.07617936240290352,decrease_risk
categorical__day_name_Saturday,-0.07616415923754304,0.07616415923754304,decrease_risk
categorical__payment_channel_POS_TERMINAL,-0.07590947973562748,0.07590947973562748,decrease_risk
numeric__credit_util_today,-0.07587390787181891,0.07587390787181891,decrease_risk
categorical__currency_AUD,0.0725251769879121,0.0725251769879121,increase_risk
categorical__credit_util_risk_group_high,-0.06957327716580033,0.06957327716580033,decrease_risk
categorical__payment_channel_ATM,-0.0690004713819499,0.0690004713819499,decrease_risk
categorical__currency_HKD,-0.0686029940078286,0.0686029940078286,decrease_risk
numeric__log_amount_to_max_30d,0.06429409185916103,0.06429409185916103,increase_risk
categorical__decline_rate_risk_group_low,-0.06131180765846153,0.06131180765846153,decrease_risk
categorical__day_name_Sunday,0.05577908607295773,0.05577908607295773,increase_risk
categorical__message_type_0500-Advice,-0.054731582052301754,0.054731582052301754,decrease_risk
categorical__txn_velocity_group_high,0.0541444096394603,0.0541444096394603,increase_risk
categorical__recurring_flag_SINGLE_PURCHASE,-0.052154417268190166,0.052154417268190166,decrease_risk
categorical__term_location_WEARABLE_PAY,0.05166629629796049,0.05166629629796049,increase_risk
categorical__txn_count_7d_group_6_10,-0.0495222490934984,0.0495222490934984,decrease_risk
categorical__currency_INR,0.0470230420672747,0.0470230420672747,increase_risk
categorical__day_name_Monday,-0.04661421085546531,0.04661421085546531,decrease_risk
categorical__merchant_country_BR,-0.046037672262059015,0.046037672262059015,decrease_risk
categorical__payment_channel_SMART_WATCH,-0.04569542295065045,0.04569542295065045,decrease_risk
categorical__auth_result_AVS_PASS,0.042822393392286884,0.042822393392286884,increase_risk
categorical__txn_count_7d_group_2_5,0.04206739807059256,0.04206739807059256,increase_risk
categorical__currency_USD,0.04068017769422415,0.04068017769422415,increase_risk
categorical__recurring_flag_MOTO_MAIL,-0.0374740202978078,0.0374740202978078,decrease_risk
categorical__merchant_country_AE,0.03398804722873456,0.03398804722873456,increase_risk
categorical__merchant_country_MY,0.03321077833984102,0.03321077833984102,increase_risk
categorical__currency_SGD,0.03297608463198251,0.03297608463198251,increase_risk
categorical__auth_characteristics_E_COMMERCE,-0.03161702898858415,0.03161702898858415,decrease_risk
categorical__credit_util_risk_group_medium,-0.031416660296150256,0.031416660296150256,decrease_risk
categorical__merchant_country_FR,0.03130240011406445,0.03130240011406445,increase_risk
categorical__ip_score_risk_group_high,-0.030869657002809216,0.030869657002809216,decrease_risk
categorical__auth_result_BIOMETRIC_PASS,0.03052231055593719,0.03052231055593719,increase_risk
numeric__chargebacks_365d,0.029088469095075314,0.029088469095075314,increase_risk
categorical__merchant_country_CA,-0.025598830664824348,0.025598830664824348,decrease_risk
numeric__hour,0.025461698866183814,0.025461698866183814,increase_risk
categorical__card_entry_mode_CHIP,-0.02449310693811538,0.02449310693811538,decrease_risk
binary__tokenised_flag,0.02365759234935663,0.02365759234935663,increase_risk
categorical__auth_result_3DS_FAIL,0.020914065650649762,0.020914065650649762,increase_risk
categorical__merchant_country_ZA,0.019765073586602934,0.019765073586602934,increase_risk
numeric__distinct_merchants_7d,-0.017416755682875495,0.017416755682875495,decrease_risk
numeric__txn_count_ratio_7d_30d,-0.016145990337442042,0.016145990337442042,decrease_risk
categorical__merchant_country_TH,-0.015230060305595672,0.015230060305595672,decrease_risk
categorical__message_type_0510-AdviceRsp,-0.011135299481384866,0.011135299481384866,decrease_risk
categorical__message_type_0420-RepeatRev,-0.0070912854797381,0.0070912854797381,decrease_risk
categorical__merchant_country_HK,0.006129916244602285,0.006129916244602285,increase_risk
categorical__card_entry_mode_QR_CODE,-0.0043204539397209765,0.0043204539397209765,decrease_risk
categorical__day_name_Tuesday,0.0035765431311214086,0.0035765431311214086,increase_risk
categorical__ip_score_risk_group_very_high,0.0034289651686181463,0.0034289651686181463,increase_risk
categorical__term_location_BRANCH_COUNTER,-0.0027123919874836124,0.0027123919874836124,decrease_risk
numeric__log_mean_amount_30d,-0.001336588119357562,0.001336588119357562,decrease_risk
categorical__currency_JPY,-0.0007975499053339277,0.0007975499053339277,decrease_risk
