feature,coefficient,abs_coefficient,direction
categorical__merchant_country_DE,-0.1271722625133313,0.1271722625133313,decrease_risk
categorical__currency_THB,-0.1255528412626659,0.1255528412626659,decrease_risk
categorical__auth_characteristics_MOBILE_TOKEN,-0.12434377069957815,0.12434377069957815,decrease_risk
categorical__txn_count_7d_group_11_20,-0.12346692096534065,0.12346692096534065,decrease_risk
categorical__card_entry_mode_MAGSTRIPE,-0.12005025185270729,0.12005025185270729,decrease_risk
categorical__day_name_Friday,-0.11880108345048469,0.11880108345048469,decrease_risk
categorical__txn_count_7d_group_gt_20,-0.11817400900587936,0.11817400900587936,decrease_risk
categorical__currency_CNY,0.11730257685482387,0.11730257685482387,increase_risk
categorical__auth_characteristics_CARD_PRESENT,-0.11713549528244699,0.11713549528244699,decrease_risk
categorical__auth_characteristics_FORCE_POST,-0.11610998610744683,0.11610998610744683,decrease_risk
categorical__merchant_country_SG,-0.11544695789794783,0.11544695789794783,decrease_risk
categorical__payment_channel_MOBILE_APP,-0.1136759657408016,0.1136759657408016,decrease_risk
interaction__cross_border_x_low_country_diversity,-0.11319831562482321,0.11319831562482321,decrease_risk
categorical__currency_EUR,-0.11238388398202954,0.11238388398202954,decrease_risk
categorical__term_location_ONLINE_PORTAL,-0.11112230118401392,0.11112230118401392,decrease_risk
binary__low_spending_trend_flag,0.1102138462447538,0.1102138462447538,increase_risk
categorical__currency_AUD,0.10897373953556012,0.10897373953556012,increase_risk
categorical__auth_result_AVS_FAIL,-0.10803003632418504,0.10803003632418504,decrease_risk
categorical__term_location_POS_TERMINAL,-0.10713162185309286,0.10713162185309286,decrease_risk
categorical__message_type_0100-AuthReq,-0.10596019363364526,0.10596019363364526,decrease_risk
categorical__merchant_country_ID,-0.10414019972251483,0.10414019972251483,decrease_risk
categorical__decline_rate_risk_group_infrequent_sklearn,-0.10402270653401448,0.10402270653401448,decrease_risk
categorical__payment_channel_API_SERVER,-0.10353890295882098,0.10353890295882098,decrease_risk
categorical__message_type_0400-Reversal,-0.1033445499512888,0.1033445499512888,decrease_risk
numeric__night_unusual_score,0.10321824505424743,0.10321824505424743,increase_risk
numeric__txn_count_30d,-0.10300367001081218,0.10300367001081218,decrease_risk
categorical__pin_verif_method_NONE,-0.10279589979402197,0.10279589979402197,decrease_risk
