segment_name,support_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,support_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
night_unusual,2401,171,0.07122032486463974,0.025471428571428572,0.04574889629321116,2.796086786609524,496,41,0.08266129032258064,0.0252,0.05746129032258064,3.2802099334357395,0.4841231468262155,1.173143104130938,0.011440965457940905
very_low_mcc_entropy,3510,339,0.09658119658119659,0.025471428571428572,0.07110976800976801,3.7917463604507913,750,61,0.08133333333333333,0.0252,0.05613333333333333,3.2275132275132274,-0.5642331329375638,0.8511943890356427,-0.015247863247863258
high_max_amount_30d,7000,439,0.06271428571428571,0.025471428571428572,0.03724285714285713,2.462142456533931,1500,116,0.07733333333333334,0.0252,0.05213333333333334,3.068783068783069,0.6066406122491377,1.246387291439158,0.014619047619047629
low_night_ratio,7038,511,0.0726058539357772,0.025471428571428572,0.04713442536434863,2.850482207237467,1500,110,0.07333333333333333,0.0252,0.048133333333333334,2.9100529100529102,0.05957070281544308,1.020898464703022,0.00072747939755613
low_mcc_entropy,7009,625,0.08917106577257812,0.025471428571428572,0.06369963720114954,3.500827035378838,1503,110,0.07318695941450433,0.0252,0.04798695941450433,2.9042444212104894,-0.5965826141683488,0.8295880919082943,-0.01598410635807379
low_country_diversity,8464,525,0.06202741020793951,0.025471428571428572,0.03655598163651094,2.435175947591568,1842,114,0.06188925081433225,0.0252,0.03668925081433225,2.455922651362391,0.020746703770822883,1.008519590866862,-0.00013815939360726365
