rule,support_train,fraud_count_train,fraud_rate_train,global_fraud_rate_train,fraud_rate_diff_train,lift_train,support_valid,fraud_count_valid,fraud_rate_valid,global_fraud_rate_valid,fraud_rate_diff_valid,lift_valid,lift_diff_valid_train,lift_ratio_valid_train,fraud_rate_diff_valid_train
low_mcc_entropy AND low_night_ratio AND card_not_present,479,128,0.267223382045929,0.025471428571428572,0.24175195347450043,10.491103052840733,94,25,0.26595744680851063,0.0252,0.24075744680851063,10.55386693684566,0.0627638840049265,1.0059825818775032,-0.0012659352374183586
low_mcc_entropy AND high_max_amount_30d,713,162,0.22720897615708274,0.025471428571428572,0.20173754758565418,8.920150494108688,150,34,0.22666666666666666,0.0252,0.20146666666666666,8.994708994708994,0.07455850060030578,1.008358435167791,-0.0005423094904160874
low_mcc_entropy AND low_night_ratio,696,181,0.2600574712643678,0.025471428571428572,0.23458604269293923,10.20977172658763,159,36,0.22641509433962265,0.0252,0.20121509433962265,8.984725965858042,-1.2250457607295893,0.8800124239389784,-0.03364237692474514
low_night_ratio AND high_max_amount_30d,728,124,0.17032967032967034,0.025471428571428572,0.14485824175824177,6.687087449846844,157,32,0.20382165605095542,0.0252,0.17862165605095542,8.088160954402992,1.4010735045561482,1.2095192434456226,0.03349198572128509
low_mcc_entropy AND low_spending_trend,733,175,0.23874488403819918,0.025471428571428572,0.21327345546677062,9.37304648495454,130,26,0.2,0.0252,0.1748,7.936507936507937,-1.4365385484466024,0.8467372853000091,-0.03874488403819917
low_night_ratio AND night_transaction,2401,171,0.07122032486463974,0.025471428571428572,0.04574889629321116,2.796086786609524,509,41,0.08055009823182711,0.0252,0.05535009823182711,3.196432469516949,0.400345682907425,1.1431807065794604,0.009329773367187377
low_mcc_entropy AND card_not_present,4570,419,0.09168490153172866,0.025471428571428572,0.06621347296030008,3.5995194095462737,969,70,0.07223942208462332,0.0252,0.04703942208462332,2.8666437335167982,-0.7328756760294755,0.7963962425422086,-0.01944547944710534
cross_border AND low_country_diversity,1692,86,0.0508274231678487,0.025471428571428572,0.025355994596420125,1.9954680996911995,400,26,0.065,0.0252,0.0398,2.5793650793650795,0.58389697967388,1.2926115323375136,0.014172576832151305
