feature,importance
categorical__merchant_country_DE,0.0036272472
categorical__payment_channel_WEB_BROWSER,0.0035628066
interaction__low_mcc_entropy_x_low_night_ratio,0.0035410828
categorical__message_type_0420-RepeatRev,0.0035042905
categorical__txn_count_7d_group_11_20,0.003467906
categorical__auth_characteristics_CRYPTOGRAM_PRESENT,0.0034566214
categorical__card_entry_mode_MAGSTRIPE,0.0034289265
categorical__card_entry_mode_CONTACTLESS,0.0033869653
categorical__merchant_country_JP,0.0033450876
categorical__merchant_country_AE,0.0032793747
categorical__recurring_flag_MOTO_PHONE,0.003269635
categorical__credit_util_risk_group_low,0.003234533
categorical__currency_IDR,0.0030825194
categorical__night_ratio_group_infrequent_sklearn,0.0029093057
categorical__term_location_KIOSK,0.0027549518
categorical__night_unusual_group_high,0.0027077682
categorical__merchant_country_GB,0.0026994743
categorical__payment_channel_API_SERVER,0.0026909895
interaction__low_mcc_entropy_x_card_not_present,0.0022158902
categorical__time_period_late_evening,0.002209362
categorical__merchant_country_ID,0.0018960268
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.0018823406
interaction__low_night_ratio_x_night_transaction,0.0010337037
categorical__txn_count_7d_group_gt_20,0.00031515784
categorical__ip_score_risk_group_very_high,0.0
categorical__decline_rate_risk_group_infrequent_sklearn,0.0
categorical__txn_count_7d_group_0_1,0.0
