feature,importance
categorical__night_ratio_group_very_low,0.03045342474373124
interaction__low_night_ratio_x_night_transaction,0.02756287191240735
categorical__currency_CHF,0.025934230072672586
categorical__auth_result_BIOMETRIC_FAIL,0.02527329635011335
binary__low_night_ratio_flag,0.024021063709883397
categorical__merchant_country_ID,0.022788812367152016
categorical__message_type_0110-AuthRsp,0.021455661559246372
categorical__txn_velocity_group_high,0.021388090235907063
interaction__low_night_ratio_x_high_max_amount_30d,0.021036449778036363
categorical__auth_result_AVS_FAIL,0.018939089792557248
categorical__currency_VND,0.016928235473271536
categorical__auth_characteristics_MOBILE_TOKEN,0.01544986042008981
categorical__time_period_night,0.014057718477769578
categorical__night_unusual_group_high,0.012625091157762471
categorical__card_entry_mode_CONTACTLESS,0.012615105433518082
categorical__message_type_0420-RepeatRev,0.012137650472045144
categorical__night_ratio_group_low,0.011216729855467839
categorical__day_name_Saturday,0.010011668959537336
categorical__txn_velocity_group_very_low,0.00927189969429677
categorical__currency_THB,0.007990692453369697
categorical__merchant_country_KR,0.007340805088112713
interaction__low_mcc_entropy_x_high_max_amount_30d,0.007158909758557031
categorical__credit_util_risk_group_low,0.006266707387571338
categorical__merchant_country_GB,0.0011589584772060185
categorical__currency_IDR,0.0
categorical__merchant_country_DE,0.0
categorical__ip_score_risk_group_very_high,0.0
categorical__ip_score_risk_group_low,0.0
categorical__ip_score_risk_group_high,0.0
categorical__amount_to_max_group_extreme,0.0
categorical__night_unusual_group_very_high,0.0
categorical__night_ratio_group_infrequent_sklearn,0.0
categorical__time_period_late_evening,0.0
categorical__txn_count_7d_group_0_1,0.0
categorical__txn_velocity_group_medium,0.0
categorical__txn_count_7d_group_gt_20,0.0
categorical__decline_rate_risk_group_infrequent_sklearn,0.0
interaction__low_mcc_entropy_x_low_night_ratio,0.0
interaction__low_mcc_entropy_x_low_spending_trend,0.0
interaction__low_mcc_entropy_x_low_night_ratio_x_card_not_present,0.0
interaction__low_mcc_entropy_x_card_not_present,0.0
interaction__cross_border_x_low_country_diversity,0.0
